epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.3614779901504517,30.0625,1.3859075818743025,26.0,1.392119220324925,26.0
2,1.2592738461494446,43.1875,1.3642660209110804,25.0,1.3821694680622645,29.0
3,1.1752960658073426,49.1875,1.448053002357483,23.5,1.4138816084180559,28.0
4,1.0516522443294525,56.9375,1.6890909246035986,29.0,1.6702183144433158,29.5
5,0.9085155296325683,64.5,2.1563317754438946,29.5,2.273214408329555,27.5
6,0.7355241823196411,73.375,1.6832072309085302,35.0,1.9009913120950972,28.0
7,0.5779521417617798,80.3125,1.8490644437926156,36.5,1.9118192025593348,32.5
8,0.4132693210244179,86.875,1.9172122137887138,36.0,2.029014391558511,35.0
9,0.3050495249032974,90.75,1.919464043208531,36.5,1.8783396993364607,37.0
10,0.23342433109879493,93.0,2.007904086794172,36.5,1.9193740231650216,44.0
