epoch,train_loss,train_acc,val_loss,val_acc
1,1.3932017074690926,26.40722724113968,1.3606759905815125,28.75
2,1.364345469739702,29.46490618485059,1.3366332650184631,36.875
3,1.327607058154212,34.88533703961084,1.2850139737129211,36.875
4,1.3201954589949714,33.56497567755385,1.2967694520950317,33.125
5,1.3317229098743864,32.59207783182766,1.3112363278865815,33.125
6,1.3188485344250997,32.17512161223072,1.294490897655487,36.25
7,1.2938571651776631,33.703961084086174,1.2661110043525696,40.625
8,1.288633781671524,35.997220291869354,1.2894331455230712,39.375
9,1.2906465186013116,34.746351633078525,1.2758071064949035,38.125
10,1.2973095099131267,34.88533703961084,1.2598462104797363,38.75
11,1.2967775331603155,33.77345378735233,1.2666384816169738,38.125
12,1.3003768960634867,34.88533703961084,1.3280596613883973,33.75
