epoch,train_loss,train_acc,val_loss,val_acc
1,1.3828390492333307,25.156358582348854,1.3546712040901183,31.875
2,1.3522574252552457,30.785267546907576,1.2939856052398682,38.125
3,1.3138549513287014,33.21751216122307,1.2900582313537599,37.5
4,1.3218967093361749,32.38359972202919,1.2826730251312255,33.75
5,1.3018697394265069,34.60736622654621,1.2491374611854553,37.5
6,1.3066990653673807,34.67685892981237,1.2720025420188903,39.375
7,1.288414908779992,34.746351633078525,1.247377973794937,38.125
8,1.290413679016961,35.4412786657401,1.2609102725982666,35.625
9,1.2797220415539212,36.06671299513551,1.2792504191398621,37.5
10,1.2877386225594414,34.329395413481585,1.2744084477424622,37.5
11,1.270858203040229,34.39888811674774,1.3312857031822205,34.375
12,1.2960404833157857,34.329395413481585,1.2513628244400024,37.5
