epoch,train_loss,train_acc,val_loss,val_acc
1,1.3876750104957156,24.113968033356496,1.3879029035568238,25.0
2,1.3891046550538806,25.43432939541348,1.3858612120151519,26.25
3,1.3886910988224876,24.94788047255038,1.3858401894569397,25.625
4,1.3907243953810797,26.89367616400278,1.3795493066310882,30.0
5,1.3903625587622324,23.905489923558026,1.384248572587967,25.625
6,1.387642146481408,24.669909659485754,1.3789238810539246,29.375
7,1.384027858575185,28.422515635858236,1.3815676629543305,25.0
8,1.3770737356609768,27.31063238359972,1.3886582016944886,29.375
9,1.3756514343950483,28.422515635858236,1.3936464726924895,21.875
10,1.3736782166692945,28.422515635858236,1.4103744626045227,29.375
11,1.364341104692883,29.534398888116748,1.4259733855724335,26.25
12,1.3563831090927123,30.43780403057679,1.412658190727234,20.625
13,1.3481929818789165,29.67338429464906,1.4350844979286195,28.125
14,1.3409117897351583,31.688672689367618,1.4373350143432617,26.25
15,1.3353623019324408,31.897150799166088,1.4128816962242126,26.25
16,1.3253217922316658,33.0090340514246,1.4897322595119475,26.25
17,1.3149827477004794,33.703961084086174,1.4673525393009186,25.625
18,1.3079917851421567,34.05142460041696,1.4897865533828736,20.625
19,1.2951131645176146,33.56497567755385,1.5090464293956756,23.125
20,1.2853354026873907,35.30229325920779,1.5933331847190857,26.25
21,1.2749357491731643,35.64975677553857,1.5930749356746674,22.5
22,1.2627493811978234,37.10910354412787,1.6385859370231628,24.375
23,1.2571249551243253,36.48366921473245,1.6494350612163544,26.25
24,1.2446207334597905,38.15149409312022,1.7417299807071687,23.125
25,1.2359002272288004,38.082001389854064,1.7407765448093415,16.25
26,1.2260193877749972,40.79221681723419,1.816572093963623,20.625
27,1.2119187066952388,40.514246004169564,1.870142263174057,19.375
28,1.2001374691724778,41.765114662960386,1.8870931029319764,18.75
29,1.1940654701656765,41.69562195969423,1.9120085537433624,20.0
30,1.1870596753226386,42.807505211952744,1.9299174010753632,18.75
