epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,0.8814933788776398,64.4375,0.6721303377832685,77.0,0.4514424332550594,82.0
2,0.41192307353019714,85.4375,0.9184617570468357,70.0,0.61916926077434,72.5
3,0.23985999822616577,92.1875,0.6607132468904767,78.0,0.4368914301906313,81.5
4,0.18470006465911865,94.0,0.6954517832824162,76.0,0.5255960013185229,81.5
5,0.14045726023614408,95.3125,0.6690093048715166,78.5,0.5048199168273381,85.5
6,0.12108308225870132,95.6875,0.6164738793990442,79.0,0.5056126479591642,85.5
7,0.08373850202187896,96.9375,0.6199729463883809,81.5,0.5008782063211713,82.0
8,0.08884563052095473,97.0,1.1185004115104675,71.0,0.7695956741060529,75.0
9,0.10233159882016479,96.3125,0.664859584399632,81.5,0.5332072504929134,86.0
10,0.08612764495424927,96.9375,0.9624645113945007,75.5,0.751163763659341,78.0
11,0.054909225525334476,98.25,0.7994383147784642,83.5,0.3776675452079092,87.5
12,0.04490515555720776,98.375,0.7228226172072547,81.0,0.5474597588181496,86.0
13,0.014287070950958878,99.6875,0.566562940865489,84.0,0.6183050147124699,87.5
14,0.01469404285075143,99.6875,0.6513491868972778,82.5,0.4843417193208422,87.5
15,0.007725331746041775,99.9375,0.6795183760779244,83.5,0.6982128684009824,89.0
